model,seed,validation_macro_f1,test_accuracy,test_macro_f1,training_time_seconds,inference_time_seconds
TextCNN,13,0.633925000416743,0.5750569846955389,0.5684318033428014,50.97064566612244,0.36961865425109863
TextCNN,42,0.629627429445768,0.5731032237056334,0.5685765820397252,41.437567949295044,0.48427629470825195
TextCNN,77,0.6298287679484741,0.5734288505372843,0.5549696133703984,37.40721821784973,0.5476973056793213
BiGRU,13,0.6399854759222214,0.5894659719960925,0.5798314032073758,80.20421814918518,0.5610551834106445
BiGRU,42,0.6499879143202801,0.5723705633344187,0.5670992535176319,148.51576280593872,0.6025691032409668
BiGRU,77,0.6485913480106179,0.6011071312276132,0.5880278278033866,98.09672975540161,0.5265166759490967
BERTweet,13,0.7394873663077783,0.7156463692608271,0.7152793442978737,1017.0318262577057,47.43059277534485
BERTweet,42,0.7407272668555764,0.7119830674047541,0.7127910159995027,1104.104481458664,47.093017578125
BERTweet,77,0.7426504503577221,0.711738847281016,0.7129611468884551,1080.884346961975,46.75023818016052
